,Recipe Name,Description,Prep Time,Cook Time,Serving Size,Group,Calories,Fat,Cholesterol,Sodium,Carbohydrate,Protein,Sugar,Fiber,Ingredients,Instructions
512,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,
515,Baked BBQ Chicken Thighs,"
                A simple, quick homemade BBQ sauce is the secret to this oven-baked BBQ chicken thigh recipe. It cooks to sticky, sweet-savory perfection and makes them as deletable as they are easy.
            ",10,35,6, Dairy-Free Gluten Free Kid Friendly,262,6 g,0 mg,656 mg,23 g,30 g,23 g,1 g,"1 cupketchup
1/2 cupbrown sugar
1 1/2 tablespoonsunfiltered apple cider vinegar
2 teaspoonsWorcestershire sauce
2 teaspoonschili powder
2 teaspoonssalt
1 teaspoongarlic powder
1 teaspoononion powder
1 teaspoonpaprika
1/4 teaspoonfreshly cracked pepper
2 poundsboneless skinless chicken thighs, fat trimmed
","Preheat the oven to 425°F with a rack in the center position. Line a rimmed baking sheet with foil and set a metal wire cooling rack inside of it.In a medium saucepan, set over low heat, combine the ketchup, sugar, vinegar, Worcestershire sauce, chili powder, 1 teaspoon of the salt, the garlic powder, onion powder, paprika and pepper. Whisk together to combine. Increase the heat to medium and bring the sauce to a simmer, then reduce the heat to medium-low and cook until the sugar has completely dissolved and the sauce is slightly thickened, about 5 minutes. Remove the sauce from heat. Reserve 3/4 cup of the sauce for serving.Place the chicken in a large bowl and season it all over with the remaining 1 teaspoon salt. Add 1/2 cup of BBQ sauce and toss to coat evenly. Arrange the chicken on the prepared wire rack. Bake the chicken for 15 minutes, then remove the pan from the oven. Using a pastry brush, coat the chicken all over with half of the remaining bbq sauce, using tongs to flip over the pieces. Return the chicken to the oven for another 15 minutes. Remove and brush with BBQ sauce again, then turn on the broiler. Cook the chicken until the edges begin to brown, 4 to 6 minutes. The chicken is done when the internal temperature reaches 165°F on an instant-read thermometer.Serve chicken with the reserved BBQ sauce alongside."
516,,,,,,,,,,,,,,,,
517,Grilled Skirt Steak with Blistered Tomatoes and Burrata,"
                It doesn’t get any better than a perfect medium-rare slab of simply grilled skirt steak. Oh wait, yes it does. Even better than grilled steak is grilled steak topped with burrata and cherry tomatoes.
            ",5,15,4, Gluten Free Kid Friendly,508,38 g,118 mg,667 mg,5 g,34 g,2 g,1 g,"1 1/2 lbsskirt steak
2 1/2 tspkosher salt
¼ cupextra virgin olive oil
1 pintcherry tomatoes, 10-12 oz
6garlic cloves, roughly chopped or thinly sliced
1 (4 oz) ballBurrata, torn into bite size pieces
Flaky salt, to taste
Freshly ground pepper, to taste
","Preheat grill on high for 15 minutes.Pat the steak dry with a paper towel and season each side with 1 teaspoon kosher salt.Once the grates of the grill are smoking, set steak on hottest part of the grill and cook for 2 minutes on each side undisturbed. Continue cooking and flipping each minute until internal temperature of the steak reads 140°F with an instant read thermometer. Transfer it to a plate and allow to rest. **Meanwhile in a medium sized skillet, heat olive oil over medium high heat. Add in cherry tomatoes and allow to cook for 5 minutes undisturbed. Add in garlic along with remaining ½ teaspoon salt and stir to combine. Allow to cook for 5 more minutes until tomatoes are blistered and garlic is golden brown.Thinly slice the steak against the grain and transfer to a plate. Top with blistered tomatoes, burrata, flaky salt and freshly ground pepper. Serve immediately.**Alternatively you can cook the steak in a large cast iron skillet over high heat. Preheat skillet until smoking. Add a little olive oil to coat the pan. Add in the steak and cook for 2 minutes on each side undisturbed. Continue cooking and flipping each minute until internal temp reads 140°F. Transfer to a plate and allow to rest."
518,Blackened Salmon Sheet Pan with Asparagus and Ginger Cilantro Sauce,"
                Blackened salmon, roasted on a sheet pan with fresh asparagus and finished with a bright, refreshing ginger-cilantro sauce makes for a dreamy weeknight dinner.
            ",20,15,4, Dairy-Free Gluten Free,505,29 g,0 mg,390 mg,11 g,51 g,7 g,3 g,"1 lbasparagus, trimmed
1 1/2 lbssalmon filet, skin on
2 TbspExtra virgin olive oil
3/4 tspsalt
1 tsppaprika (not smoked)
1/8 tspcayenne
1 tspgarlic powder
1 tsponion powder
1/2 tspsalt
1 tspdried oregano
1 tspdried thyme
1/2 tspground ginger
1 Tbspbrown sugar
1 bunchcilantro, leaves and stems, ends trimmed, about 2 cups packed
1garlic clove, smashed
1/4 cupextra-virgin olive oil
1 tsporange zest
1/4 cupfresh squeezed orange juice, from 1 orange
1/2 tsphoney
3/4 tspkosher salt
1 tspblackened seasoning
2 tspminced fresh ginger
","Preheat oven to 400°F. Prepare a rimmed baking sheet with parchment paper or foil. Place the salmon skin side down on the baking sheet. Pat dry with a paper towel. Place the asparagus on the baking sheet around the salmon.Drizzle the olive oil over the asparagus and a little on the salmon too. Sprinkle the asparagus with the salt and toss them a little to coat.Make the blackened seasoning: In a small bowl, mix all ingredients until fully combined. Reserve 1 teaspoon of seasoning for the cilantro ginger sauce and sprinkle the remaining over the salmon, rubbing to completely coat it.Place the salmon and asparagus in the oven. Cook until the salmon is tender and the salmon is flaky, about 13-16 minutes depending on the thickness of your salmon and asparagus.Make the cilantro-ginger sauce: Add all ingredients to the base of a high powdered blender or a food processor. Pulse or blend until mostly smooth.Serve the salmon and asparagus drizzled with the cilantro ginger sauce."
519,Crispy Ground Beef Taco,"
                Ground beef tacos are as quick and easy as can be. Plus, they’re easy for each person at the table to customize to their own tastes and so they’re always, always a crowd-favorite.
            ",5,15,4, 30 Minutes Kid Friendly,493,39 g,0 mg,555 mg,27 g,22 g,22 g,2 g,"1 lb80/20 ground beef
2 tbspvegetable oil
86 inch flour tortillas
sour cream
cilantro
shredded cheese
shredded lettuce
pico de gallo
salsa
","In a large skillet over medium high heat, add ground beef. Cook until browned, breaking up with a wooden spoon. Add in taco seasoning along with 1 tbsp water and cook, stirring often, until fully combined. Remove from heat. Meanwhile, in a medium sized skillet add vegetable oil until ¼ inch deep. Once glistening, add tortillas one at a time and cook until golden and crips, about 1 minute. Flip and repeat on the other side. Transfer tortilla to a paper towel lined plate. Continue with remaining tortillas. Serve prepared beef with crispy tortillas, sour cream, fresh cilantro, shredded cheese, shredded lettuce and pico de gallo or salsa. "
520,Egg Roll Bowl,"
                Ground turkey, cabbage and carrots are sautéed together in one big skillet, then flavored with all of the things that make egg rolls so delicious to make this healthy, easy, egg roll bowl.
            ",10,15,4, Dairy-Free Gluten Free 30 Minutes Kid Friendly,249,13 g,78 mg,664 mg,10 g,24 g,4 g,2 g,"1½ tablespoonstoasted sesame oil
1 poundground turkey
1small yellow onion, diced, about 1 cup
1 tablespoonminced fresh ginger
1 tablespoonminced garlic
2 cupsshredded green cabbage
1 cupshredded carrots
¼ cuplow sodium soy sauce
1 teaspoonbrown sugar
Sriracha or chili, for serving
1 (3.5 ounce)bag wonton strips
⅓ cupminced green onions
Sesame seeds, for serving
","In a large skillet, heat 1 tablespoon of the oil over medium-high heat. When the oil is glistening, add the turkey, onion, ginger and garlic. Cook, stirring, until the turkey is browned and no longer pink, about 8 minutes. Add the cabbage, carrots, soy sauce, sugar and remaining ½ tablespoon sesame oil. Cook, stirring, until cabbage and carrots are tender, about 4-5 minutes.Divide the turkey and cabbage mixture into 4 bowls and drizzle each with the sriracha. Sprinkle with wonton strips, green onions and sesame seeds before serving."
521,Breakfast Tacos,"
                Loaded with bacon, eggs, avocado and cheddar cheese, our super easy breakfast taco recipe is hearty, filling and oh-so-delicious.
            ",10,30,4, Gluten Free 30 Minutes Kid Friendly,539,38 g,43 mg,1249 mg,27 g,26 g,5 g,7 g,"1 1/2 Tbspvegetable oil
8 (6-inch)corn tortillas
8 slicesbacon, drippings reserved
8large eggs
1 (4 oz) cangreen chilies, mild
3/4 tspsea salt
1 1/4 cupshredded cheddar cheese
1/4 cupchopped cilantro, optional
1Avocado, sliced
1/3 cuppico de gallo
1lime, cut into wedges
hot sauce, optional
","In a medium nonstick skillet set over medium-high, heat 1 teaspoon of the oil until glistening. One at a time, cook the tortillas on both sides until lightly toasted, about 30 seconds on each side, adding a little extra oil when needed. Transfer them to a plate and cover with a towel to keep warm. Reduce the heat to medium and cook the bacon until crispy. Remove the skillet from the heat. Using tongs, transfer the bacon to a paper towel lined plate. Pour the bacon grease into a heat proof container. Carefully wipe out the skillet or grab another medium skillet. While the bacon is cooking, in a medium bowl beat the eggs with the green chilis (use as much or as little as you'd like) and the ¾ teaspoon salt until fully incorporated.Heat 1-2 tablespoons of the bacon drippings in the skillet over medium heat. Pour in the eggs and cook, moving them around occasionally with a wooden spoon until mostly cooked through but still slightly wet.Sprinkle the eggs with the shredded cheese and continue to cook until the cheese is melted and the eggs set.Divide the eggs among the warm tortillas. Top each taco with bacon, cilantro, avocado slices, pico de gallo, a squeeze of lime juice and your favorite hot sauce if desired."
522,Red Wine Sangria,"
                Whether you’re gathering for a book club, a birthday party or just for some no-reason friend time, keep this red sangria flowing and the conversation will flow right along with it!
            ",15,0,6, Dairy-Free,228,0 g,0 mg,7 mg,18 g,0 g,1 g,0 g,"1 (750 mL) bottlered wine, such as Garnacha or Pinot Noir
1/2 cupbrandy
1/2 cuptriple sec
3/4 cupfresh squeezed orange juice, about 2 large oranges
2-4 Tbspbrown sugar, optional, depending on sweetness
1cinnamon stick
1Orange cut into slices
1/2green apple, cored cut into bite size pieces
","In a large pitcher, mix together the wine, brandy, triple sec, orange juice and sugar (if using), stir to combine. Add the cinnamon stick, orange slices and apple. Give it another stir.Refrigerate until ready to serve, preferably 2 hours or more. **Taste before serving. If it’s too sweet or strong for your taste, you can add a little water (about 1/2 cup) or sparkling water (about 1/2 cup). Serving over ice will also help it achieve the perfect strength and sweetness."
523,Pickled Onions,"
                Quick-pickled in a bath of seasoned vinegar, these tart pickled red onions add a punch of flavor to just about anything! Add them to salads, sandwiches, tacos, burgers—they make any meal even better.
            ",5,15,12, Dairy-Free Gluten Free Vegan Vegetarian,7,0 g,0 mg,99 mg,2 g,0 g,1 g,0 g,"2 cupsdistilled white vinegar
4whole cloves
1garlic clove, halved
2 tspsugar
2 tspkosher salt
1bay leaf
1cinnamon stick
4 cupsboiling water
1large red onion, halved and thinly sliced
","In a 1-quart glass jar, stir together the vinegar, cloves, garlic, sugar, salt, bay leaf, and cinnamon stick until the sugar dissolves.Place red onions in a mesh strainer set over the sink. Slowly pour the boiling water over the onions. Using tongs, immediately transfer the hot onions to the vinegar mixture. Gently press the onions down until they are fully submerged.Seal the jar and let the red onions pickle, refrigerated, for at least one hour before using, preferably overnight. Store for up to 3 weeks.**Makes 2 cups"
524,Carne Asada Tacos,"
                Nothing more and nothing less than the very best carne asada tacos recipe we could possibly create! Juicy steak, corn tortillas and fresh guacamole make for one killer dinner—just add margaritas.
            ",30,20,6, Dairy-Free Gluten Free,500,21 g,100 mg,617 mg,27 g,35 g,4 g,4 g,"white onion, chopped
Cilantro, roughly chopped
corn tortillas
","Make the carne asada. Let it rest before cutting it (against the grain) into bite-size pieces. Prepare the toppings. While the steak is cooking, chop the onions, roughly chop the cilantro, prepare the guacamole and warm or toast the tortillas. Assemble the tacos. Fill the warm tortillas with chopped steak, raw onion, cilantro and guacamole."
525,Roasted Salmon with Spring Pesto,"
                An herbal, vibrant pea-and-carrot top pesto makes the ideal partner for a big, beautiful filet of roasted salmon. Simple, colorful, healthy and so delicious, this is one dreamy dinner.
            ",25,25,6, Gluten Free,496,35 g,3 mg,309 mg,11 g,36 g,4 g,3 g,"1/2 cuppeas, fresh or frozen and thawed
1/2 cupunsalted pistachios
1/4 cupgrated parmesan cheese
2 tbsppacked fresh mint, leaves only
5fresh basil leaves
1/4 cupcilantro, leaves and soft stems, roughly chopped
1/2 cuppacked carrot tops, rough stems removed
1large garlic clove, smashed
2 tsplemon zest
2 tsplemon juice
1/4 tspkosher salt
1/2 cupextra virgin olive oil
1.5 lbsalmon filet
2 tbspolive oil
1 tspkosher salt
1/4 tspfreshly ground pepper
2 tbsplemon juice
3-4carrots, ribboned
2-3radishes, thinly sliced
2 tbspfresh chives
2 tbspfresh mint
1/4 cupfresh cilantro leaves
","Add all of the ingredients for the spring pesto, except for the olive oil, to a food processor. Blend until fully combined while still a little coarse in texture. Slowly add in more olive oil while blade is running on low. Can be made ahead and stored in the refrigerator for up to a week.Preheat oven to 375°F. Place the fish fillet skin side down on a parchment lined baking sheet. Brush salmon with olive oil. Sprinkle with salt, pepper and 1 tbsp fresh lemon juice. Bake for 10 minutes until the salmon begins to flake. You want the inside to still be shiny and slightly opaque.Meanwhile combine the carrots, radishes, chives, mint, cilantro and remaining 1 tbsp of lemon juice in a medium bowl.Brush with spring pesto and top with carrot herb salad. Serve with extra pesto and enjoy!"
526,Moscow Mule,"
                Crisp and refreshing, the classic Moscow Mule is about as easy as can be. Vodka + ginger beer + plenty of ice. And that iconic, frosty copper mug? It’s very fun to drink out of, but totally optional.
            ",5,0,1, Dairy-Free Gluten Free Vegan Vegetarian 30 Minutes,187,0 g,0 mg,10 mg,15 g,0 g,11 g,0 g,"1/2-inch piecefresh ginger, thinly sliced
1/2 ouncefresh lime juice
2 ouncesvodka
6 ouncesgood-quality ginger beer
","In a copper mug or glass, muddle the ginger with the lime juice until crushed and fragrant.Add vodka and enough crushed ice to fill the glass. Top with ginger beer. Stir and, if you'd like to, garnish with fresh mint or candied ginger."
527,Chimichurri Meatballs,"
                These easy chimichurri meatballs make a delicious, quick dinner when paired with a big salad, or serve them as a fun, dippable party appetizer—either way, they’re sure to be a hit!
            ",30,20,8, Dairy-Free,330,10 g,10 mg,266 mg,50 g,11 g,5 g,4 g,"1 batch3/4 cup bread crumbsbread crumbs
1 lbGround beef, 80/20
1 lbGround pork or lamb (both pair perfectly with chimichurri sauce)
2large eggs
1 tspkosher salt
","Heat oven to 350°F. Prepare a large rimmed baking sheet with parchment paper.Make the chimichurri sauce according to directions in separate post. In a large bowl, mix together 1/3 cup prepared chimichurri with the bread crumbs, toss to combine until there are no longer any dry parts.Add in the ground beef and lamb or pork (whichever you prefer), eggs and salt. Mix well with your hands until the breadcrumb mixture is completely incorporated with the meat and eggs.Roll the meat mixture into 1 ½ inch balls (about 2 tablespoons each) and place on the baking sheet, about 28-30 total.Bake for 15 minutes. Turn the oven to broil and cook for 5 more minutes until the meatballs are browned and have reached an internal temperature of 165°F on an instant read thermometer. Discard any fat that leaked out of the meatball (don’t worry they will still be really tender.)Transfer the meatballs to a serving platter and serve with remaining chimichurri sauce."
528,Sheet Pan Olive Bar Chicken,"
                Tender fingerling potatoes nestle between slices of lemon and red onion, chicken thighs and all of your favorite salty, spicy, garlicky favorites in this insanely easy sheet pan chicken recipe.
            ",15,45,6, Dairy-Free Gluten Free Whole30 Sheet Pan,296,14 g,0 mg,492 mg,20 g,28 g,2 g,3 g,"6boneless, skinless chicken thighs (about 1½ pounds)
1small red onion, cut into 1-inch wedges
8 to 10new potatoes, quartered
1 tablespoonextra-virgin olive oil
1 teaspoonkosher salt
2 cupsmixed olive bar offerings (see Note)
½ teaspoonfreshly cracked black pepper
1 teaspoononion powder
Lemon wedges, for serving
½ cupextra-virgin olive oil
zest and juice from 1 large lemon about ¼ cup
½ teaspoonkosher salt
½ teaspoonred pepper flakes (optional)
½ teaspoonfreshly cracked black pepper
3 garliccloves, minced
¼ cupchopped fresh flat-leaf parsley, plus more for serving
1 tablespoonchopped fresh herbs or 1 teaspoon dried herbs such as thyme and rosemary
","Make the marinade. In a small bowl mix together the olive oil, lemon zest and juice, salt, red pepper flakes, pepper, garlic, parsley and herbs. Place the chicken thighs and onions in a bowl or gallon size ziploc bag. Pour the marinade over the top, turn to coat, cover and set aside in the fridge (this can be done up to 24 hours ahead of time). Preheat the oven to 375° F with a rack in the center position.Place the potatoes on a rimmed sheet pan. Drizzle them with the olive oil and sprinkle with ½ teaspoon of the salt, toss to coat. Roast in the oven for 10 minutes. Remove the potatoes from the oven and add the chicken thighs, onion wedges, and olive bar offerings in between the potatoes. Pour any remaining marinade over everything. Season with pepper, onion powder, and remaining ½ teaspoon salt. Return the sheet pan to the oven and roast until the chicken is cooked through, about 35 minutes more. Set the oven to broil. Broil until chicken and veggies are lightly charred, 3 to 5 minutes. Squeeze lemon juice over the entire dish and sprinkle with additional parsley, serve family-style.Note: When we say “olive bar offerings” we mean literally anything you want from the olive bar at your local grocery store, including peppers, olives, roasted garlic, and marinated artichoke hearts."
529,Sweet Potato Tacos,"
                Loaded with tangy slaw and black beans, these easy sweet potato tacos are the comforting vegetarian dinner that Meatless Monday dreams are made of.
            ",20,25,5, Gluten Free Vegetarian Kid Friendly,330,10 g,10 mg,266 mg,50 g,11 g,5 g,4 g,"2 cupssweet potatoes, peeled and cut into 1/2-inch cubes from 2 sweet medium potatoes
1 Tbspextra virgin olive oil
1 Tbsp1 (15 oz) canblack beans, drained and rinsed
3 cupsquick slaw (recipe below)
6-8 (6 or 8-inch)corn tortillas, warmed
2 ozgoat cheese crumbled, optional
2 cupsfinely shredded, red cabbage
2 Tbsplime, juiced from 1 lime
1/2 tspkosher salt
1/3 cuproughly chopped cilantro
","Preheat oven to 375° F.Spread the sweet potatoes out on a rimmed baking sheet. Drizzle with olive oil and taco seasoning, toss until combined. Cook potatoes on center rack until tender, about 25 minutes. While the potatoes are still warm, toss them with the black beans.Meanwhile, in a medium sized bowl, mix all ingredients for the quick slaw.To serve place a scoop of the sweet potato mixture into a warmed tortilla shell. Top with quick slaw, crumbled goat cheese, a scoop of guacamole and a drizzle of vegan queso."
530,30 Best Quinoa Recipes,"
                We’ve rounded up all of our very favorite quinoa recipes! From summery quinoa salads and hearty quinoa bowls to stuffed peppers and meatloaf, these easy quinoa recipes are sure to satisfy.
            ",,,, Roundups,,,,,,,,,,
531,White Bean Hummus,"
                Creamy and full of nutrition, our zesty, garlicky white bean hummus recipe is a delicious, easy spin on classic hummus.
            ",15,0,10, Dairy-Free Gluten Free Vegan Vegetarian 30 Minutes Kid Friendly,142,7 g,0 mg,355 mg,17 g,7 g,0 g,5 g,"2 (15 oz) canswhite beans, drained, 1/3 cup liquid reserved
1/2 cupTahini
3 TbspExtra virgin olive oil, plus more for serving
1 tspLemon zest
1/4 cupfresh Lemon juice, from 2 lemons
3Garlic cloves, peeled
1/2 tspSea salt
1/2 tspgarlic powder
1/4 tsppaprika, plus are more for serving
Flat leaf parsley (optional)
Toasted pita bread for serving
","Add drained white beans, 1/4 cup of the reserved liquid, tahini, olive oil, lemon zest and juice, garlic, salt, garlic powder and paprika to a high powered blender or food processor. Blend on low until ingredients are mixed together. Slowly increase the speed, and blend on high for 5 minutes until smooth and creamy, using a tamper as needed. If the hummus appears to be too dry and isn’t blending nicely, add more reserved liquid 1 tablespoon at a time.Adjust the salt to your liking. If the hummus tastes a little “flat” try adding more salt and a bit more lemon juice and blend again.To serve, use the back of a spoon to spread the hummus out into a shallow bowl, drizzle with olive oil and sprinkle with chopped flat leaf parsley and paprika. Serve with warm pita and vegetables."
532,Chicken Parmesan,"
                Covered in classic marinara and bubbly, creamy fresh mozzarella cheese, our chicken Parmesan recipe is simply the best.
            ",20,25,6, Kid Friendly,488,33 g,137 mg,442 mg,18 g,30 g,1 g,1 g,"3large eggs
1/2 cupall purpose flour
3/4 cupPanko breadcrumbs
1/3 cupbread crumbs (if using Italian skip the Italian seasoning)
3/4 cupparmesan cheese, plus more for serving
1 tspgarlic powder
1 1/2 tspsea salt salt
1/2 tspfreshly cracked pepper
1 tspItalian seasoning
3large chicken breasts halved horizontally to make 6 fillets
1/2 cupextra virgin olive oil
24oz jar8 ozfresh mozzarella cheese, sliced into 12 thin pieces
2 tbspfresh basil, chopped
Red pepper flakes, optional
","Preheat oven to 400° F.Grab three shallow bowls, or rimmed plates, large enough to fit the size of your chicken breast. In one bowl beat the eggs until smooth. In the second bowl, place the flour and in the third bowl, mix together the Panko, bread crumbs and the parmesan cheese until fully combined.In a small bowl mix together the garlic powder, sea salt salt, pepper and Italian seasoning. Season chicken filets on both sides with the seasoning. Dredge each filleted breast in the flour and gently shake off excess, then dip in the egg and let the excess drip off, then dredge on both sides in the bread crumbs, gently pressing to coat completely.Heat 1/4 of the oil in a 12” skillet over medium-high heat until smoking. Add 3 chicken breast fillets and cook until golden brown, about 2 minutes per side. Transfer to a baking sheet. Add remaining oil and heat until smoking. Repeat the process with remaining chicken and transfer to the baking sheet.Top each breast with 3-4 tablespoons of marinara sauce and 2 slices each of the mozzarella. Bake in the oven until the chicken is cooked through (chicken is done when the thickest part of the chicken reads 165°F with an instant read thermometer.) and the cheese is melted, about 10-14 minutes. Remove from the oven and garnish with basil, extra parmesan and red pepper flakes if desired."
533,Five Onion Tart with Arugula Salad,"
                Like a quiche but with fewer eggs, a golden, buttery crust, and a medley of onions cooked to caramelized perfection this onion tart is ideal for brunch, but makes a delicious dinner, too.
            ",1,1,8, Vegetarian,498,36 g,138 mg,233 mg,34 g,8 g,5 g,3 g,"1/2 cupunsalted butter, chilled and cut into small pieces
1/2 cupvegetable shortening
2 cupsall purpose flour, plus more for rolling out dough
1/2 tspsea salt
5-6 tbspice water
4 Tbspbutter
2 Tbspolive oil, plus more for salad
1large yellow onion, thinly sliced
2leeks, sliced
4green onions, thinly sliced
2shallots, thinly sliced
4eggs
1/3 cupcrème fraîche
1/2 tspsalt, plus more to taste
1/4 tspnutmeg
1/2 tspfreshly ground pepper, plus more to taste
1/2 cupchives, minced
4 cupsArugula
","Pulse the butter, shortening flour and salt together in the base of a food processor (alternatively you can cut the butter and shortening into the flour by hand with a fork or pastry cutter) until butter and shortening are pea sized. Add the ice water one tablespoon at a time pulsing or mixing until dough just starts to come together. Do not over mix. Using your hands form a ball with the dough, wrap it in saran wrap and chill in the refrigerator for 30 minutes.On a lightly floured surface roll out dough into a circle ¼-inch thick. Carefully press the dough into a tart pan, cutting away excess dough. Puncture dough with a fork a dozen times and chill for 30 minutes longer.Preheat oven to 400°F. Cover the pie with a piece of foil and bake for 20 minutes. Remove the foil and continue to bake for another 10 minutes, or until crust is just set.In a large saucepan with a tight fitting lid set over medium heat, melt 4 tablespoons butter and 2 tablespoons oil. Reduce heat to medium-low and add onions, leeks, scallions and shallots. Cover with a lid and cook for 10 minutes. Remove cover and continue to cook, stirring often, until onions turn a golden brown color. This process should take about 30 minutes. Remove from heat and allow to cool, about 20 minutes.In a large bowl whisk together eggs, crème fraîche, salt, nutmeg, pepper and chives. Add the onion mixture to the egg mixture and stir until onions are evenly distributed. Pour into the tart crust and bake for 25-35 minutes, until eggs are set and the crust is golden brown.Just before serving toss the arugula with desired amount of olive oil, salt and pepper. Add the salad to the top of the tart and serve.**Tart can be made up to a day ahead. To warm up, cover and bake at 300°F until warmed through."
534,Shrimp Louie,"
                There’s no shrimp louie quite like a truly, madly, deeply classic shrimp louie salad—no swaps, no changes, nothing incredibly modern. We present to you, our perfect shrimp louie recipe!
            ",20,10,4, Dairy-Free 30 Minutes,521,40 g,193 mg,959 mg,16 g,34 g,5 g,6 g,"1 lbmedium shrimp, peeled and deveined, about about 20-25
1/2 tspTabasco, plus more for serving
1 Tbsplemon juice
1/2 tspgarlic powder
1/2 tspsalt
2 Tbspextra virgin olive oil
1/2 tspWorcestershire
1 tsphoney
1/4 tsppaprika
1/2 cupmayonaise
1 Tbspdijon
1/2 tsplemon zest
3 1/2 tsplemon juice, from one lemon
1/2 tspTabasco sauce
1 tsphoney
1/2 tspWorcestershire
2 Tbspcapers, drained
1/4 tspgarlic powder
1/4 tsppaprika
2-3heads romaine lettuce, chopped about 8 cups (butter lettuce or mixed greens also work well)
48 ozCherry tomatoes, halved
1large avocado, sliced
Capers, drained, for serving
Flaky Salt, for eggs
","In a medium sized bowl, make the marinade by mixing together the Tabasco, lemon juice, garlic powder, salt, olive oil, Worcestershire, honey and paprika. Add the shrimp, toss to coat and set aside.Add all of the dressing ingredients to the base of a food processor. Pulse to combine until mostly smooth.Heat a large non-stick skillet over medium-high heat. Add the shrimp and cook until opaque and there are no more gray parts left, about 5-7 minutes. Transfer the shrimp to a plate to cool while preparing the salad.Add the lettuce to a large bowl and toss with the dressing. Top with hard boiled eggs, cherry tomatoes, avocado slices, additional capers if desired and cooled shrimp. Sprinkle the salad (especially the eggs) with flaky salt and freshly cracked pepper to taste."
535,Pasta Primavera,"
                Pasta primavera, darling of the ‘70s, is worthy of a revisit! Jam-packed with vegetables, and enough butter to keep us interested, it strikes a perfect balance between healthy-ish and hedonistic.
            ",20,20,4, Vegetarian Kid Friendly,550,30 g,62 mg,1632 mg,59 g,15 g,17 g,7 g,"12 ouncespasta, such as penne or bucatini
2 tablespoonsextra-virgin olive oil
1large shallot, thinly sliced
1large carrot, cut into matchsticks
1medium zucchini ¾-inch sliced, halved to create a half circle
1medium yellow summer squash, ¾-inch sliced, halved to create a half circle
6 tablespoonsunsalted butter, cut into 8 pieces
¾ cupfreshly grated Parmesan cheese, plus more for serving (see Note)
½ cupwhole milk, plus more as needed
1 teaspoondried basil
½ teaspoongarlic powder
½ teaspoonsea salt
½ teaspoonfreshly cracked black pepper
⅓ cupsun dried tomatoes, chopped
1½ cupshalved cherry tomatoes
Chopped fresh basil or flat leaf parsley, optional
Crushed red pepper flakes, for serving, optional
","Bring a large pot of salted water to a boil over high heat. Add the pasta and cook according to package instructions, about 8-12 minutes.Meanwhile, heat 1 tablespoon olive oil in a large skillet, over medium-high heat. Add the shallots and carrots, stirring until softened, about 5 minutes. Transfer the shallots and carrots to a plate. Add the remaining tablespoon olive oil, swirl to coat then add the zucchini and squash in a single layer. Cook until golden brown on each side, about 6 minutes total, transfer to the plate with the carrots. Add the butter to the skillet. When melted, whisk in the Parmesan, milk, basil, garlic powder, salt and pepper, until smooth. Stir in the sun dried and cherry tomatoes, until warmed through. Remove from heat.Drain the pasta. Add the pasta along with the carrot and zucchini mixture to the skillet and toss to coat (see Note 2). Serve with additional Parmesan, fresh basil and crushed red pepper flakes if desired."
536,How to Cook Spaghetti Squash,"
                Looking to swap some carbs for a nutritional boost? Or maybe you’ve got a bunch of squash and you’re not sure what to do with it! Either way, never fear! We’ll teach you how to cook spaghetti squash.
            ",5,40,4, Dairy-Free Gluten Free Vegan Vegetarian Whole30,91,5 g,0 mg,182 mg,14 g,1 g,6 g,3 g,"1spaghetti squash, cut in half seed removed (about 4-5 lbs)
1 Tbspolive oil, plus more for baking sheet
1 tspkosher salt
½ tspfreshly cracked pepper
","Preheat the oven to 425° F. Grease a sheet pan or large baking dish with oil or cooking spray.Brush the inside of the squash with olive oil. Place the squash cut side down on the prepared sheet pan. Bake for 40 minutes until the squash is very tender.When cool enough to handle, flip the squash over. Using a fork, scrape the flesh to release spaghetti-like strands. Season with salt and pepper."
